status,gender,num_of_item
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,3
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,3
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,4
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,4
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,3
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,4
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,3
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,3
Shipped,F,2
Shipped,F,2
Shipped,F,4
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,2
Shipped,F,1
Shipped,F,1
Shipped,F,3
Shipped,F,1
Shipped,F,1
